COMPOUND,YEAR,STATE_CODE,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,COUNTY,STATE
"2,4-D",2014,01,001,1698.6,1885.5,Gayo Lues,Aceh
"2,4-D",2014,01,003,7513.6,8472.4,Aceh Singkil,Aceh
"2,4-D",2014,01,005,2613.6,2889.4,Aceh Besar,Aceh
"2,4-D",2014,01,007,1259.2,1277.7,Bireuen,Aceh
"2,4-D",2014,01,011,1318.9,1408.5,Aceh Barat,Aceh
"2,4-D",2014,01,015,3130.4,3335.5,Aceh Barat Daya,Aceh
"2,4-D",2014,01,017,4784.1,4813.8,Aceh Selatan,Aceh
"2,4-D",2014,01,019,4220.3,4977.2,Aceh Tamiang,Aceh
"2,4-D",2014,01,021,3417.8,3476.7,Lhokseumawe,Aceh
"2,4-D",2014,01,023,1018.0,1018.7,Pidie Jaya,Aceh
"2,4-D",2014,01,025,820.9,821.9,Subulussalam,Aceh
"2,4-D",2014,01,041,2098.4,2325.7,Aceh Jaya,Aceh
"2,4-D",2014,01,055,4337.5,4493.8,Nagan Raya,Aceh
"2,4-D",2014,01,065,2225.6,2345.6,Simeulue,Aceh
"2,4-D",2014,01,067,2631.4,3339.8,Pidie,Aceh
"2,4-D",2014,01,097,3949.7,4265.3,Langsa,Aceh
"2,4-D",2014,01,101,3552.5,4009.0,Bener Meriah,Aceh
"2,4-D",2014,04,001,443.2,452.9,Pesisir Selatan,Sumatera Barat
"2,4-D",2014,04,003,256.1,325.9,Solok,Sumatera Barat
"2,4-D",2014,04,005,493.8,496.2,Agam,Sumatera Barat
"2,4-D",2014,04,007,3.7,6.0,Pasaman,Sumatera Barat
"2,4-D",2014,04,009,348.3,447.6,Solok Selatan,Sumatera Barat
"2,4-D",2014,04,011,0.6,12.8,Kota Padang,Sumatera Barat
"2,4-D",2014,04,015,104.0,193.5,Lima Puluh Koto,Sumatera Barat
"2,4-D",2014,04,019,187.3,194.1,Padang Pariaman,Sumatera Barat
"2,4-D",2014,04,023,9.4,27.2,Kota Bukittinggi,Sumatera Barat
"2,4-D",2014,04,025,78.3,88.7,Pasaman Barat,Sumatera Barat
"2,4-D",2014,05,001,4190.9,7455.6,Kepulauan Meranti,Riau
"2,4-D",2014,05,003,5409.0,5990.7,Dumai,Riau
"2,4-D",2014,05,005,1861.1,1861.3,Indragiri Hulu,Riau
"2,4-D",2014,05,009,1737.1,1740.8,Indragiri Hilir,Riau
"2,4-D",2014,05,013,196.8,196.8,Rokan Hilir,Riau
"2,4-D",2014,05,015,1714.7,1717.0,Siak,Riau
"2,4-D",2014,05,019,1317.5,1646.3,Rokan Hulu,Riau
"2,4-D",2014,05,031,18204.5,18204.5,Pelalawan,Riau
"2,4-D",2014,05,039,240.1,240.1,Kampar,Riau
"2,4-D",2014,05,041,6306.2,6732.8,Bengkalis,Riau
"2,4-D",2014,05,051,3208.1,3213.5,Kuantan Singingi,Riau
"2,4-D",2014,06,001,54.7,54.7,Sarolangun,Jambi
"2,4-D",2014,06,005,105.0,105.0,Bungo,Jambi
"2,4-D",2014,06,007,5261.3,5261.3,Merangin,Jambi
"2,4-D",2014,06,011,2476.4,2476.4,Tanjung Jabung Barat,Jambi
"2,4-D",2014,06,013,291.4,291.4,Kota Jambi,Jambi
"2,4-D",2014,06,019,21301.3,21301.3,Batanghari,Jambi
"2,4-D",2014,06,023,13.8,13.8,Tebo,Jambi
"2,4-D",2014,06,025,12258.2,12258.2,Kota Sungai Penuh,Jambi
"2,4-D",2014,06,035,663.2,663.2,Muaro Jambi,Jambi
"2,4-D",2014,06,041,8.9,8.9,Kerinci,Jambi
"2,4-D",2014,08,001,37353.5,37384.1,Pagar Alam,Sumatera Selatan
"2,4-D",2014,08,003,26.7,1562.2,Ogan Komering Ulu,Sumatera Selatan
"2,4-D",2014,08,005,10816.5,10837.4,Lahat,Sumatera Selatan
"2,4-D",2014,08,007,56.5,56.5,Ogan Komering Ulu Selatan,Sumatera Selatan
"2,4-D",2014,08,009,51673.6,52410.0,Musi Rawas,Sumatera Selatan
"2,4-D",2014,08,011,5782.5,6561.5,Muara Enim,Sumatera Selatan
"2,4-D",2014,08,019,,0.2,Ogan Ilir,Sumatera Selatan
